,AQI,ActionDay,CategoryName,CategoryNumber,Concentration,DateForecast,DateIssue,Discussion,Latitude,Longitude,ParameterName,ReportingArea,StateCode
19,-1,False,Good,1,-0.24,2026-06-02,2026-06-01,,43.0673,-89.4181,PM2.5,Madison Area,WI
20,-1,False,Unhealthy for Sensitive Groups,3,,2026-06-03,2026-06-01,,43.0673,-89.4181,O3,Madison Area,WI
21,-1,False,Moderate,2,-12.626530612244894,2026-06-03,2026-06-01,,43.0673,-89.4181,PM2.5,Madison Area,WI
22,-1,False,Moderate,2,,2026-06-04,2026-06-01,,43.0673,-89.4181,O3,Madison Area,WI
23,-1,False,Good,1,-0.24,2026-06-04,2026-06-01,,43.0673,-89.4181,PM2.5,Madison Area,WI
24,-1,False,Moderate,2,,2026-05-31,2026-05-31,,43.0673,-89.4181,O3,Madison Area,WI
25,-1,False,Good,1,-0.24,2026-05-31,2026-05-31,,43.0673,-89.4181,PM2.5,Madison Area,WI
26,-1,False,Good,1,,2026-06-01,2026-05-31,,43.0673,-89.4181,O3,Madison Area,WI
27,-1,False,Good,1,-0.24,2026-06-01,2026-05-31,,43.0673,-89.4181,PM2.5,Madison Area,WI
28,-1,False,Good,1,,2026-06-02,2026-05-31,,43.0673,-89.4181,O3,Madison Area,WI
29,-1,False,Good,1,-0.24,2026-06-02,2026-05-31,,43.0673,-89.4181,PM2.5,Madison Area,WI
30,-1,False,Moderate,2,,2026-06-03,2026-05-31,,43.0673,-89.4181,O3,Madison Area,WI
31,-1,False,Good,1,-0.24,2026-06-03,2026-05-31,,43.0673,-89.4181,PM2.5,Madison Area,WI
32,-1,False,Good,1,,2026-05-30,2026-05-29,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/",43.0673,-89.4181,O3,Madison Area,WI
33,-1,False,Good,1,-0.24,2026-05-30,2026-05-29,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/",43.0673,-89.4181,PM2.5,Madison Area,WI
34,-1,False,Moderate,2,,2026-05-31,2026-05-29,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/",43.0673,-89.4181,O3,Madison Area,WI
35,-1,False,Good,1,-0.24,2026-05-31,2026-05-29,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/",43.0673,-89.4181,PM2.5,Madison Area,WI
36,-1,False,Moderate,2,,2026-06-01,2026-05-29,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/",43.0673,-89.4181,O3,Madison Area,WI
37,-1,False,Good,1,-0.24,2026-06-01,2026-05-29,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/",43.0673,-89.4181,PM2.5,Madison Area,WI
38,-1,False,Moderate,2,,2026-05-29,2026-05-29,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/",43.0673,-89.4181,O3,Madison Area,WI
39,-1,False,Good,1,-0.24,2026-05-29,2026-05-29,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/",43.0673,-89.4181,PM2.5,Madison Area,WI
40,-1,False,Good,1,,2026-05-30,2026-05-29,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/",43.0673,-89.4181,O3,Madison Area,WI
41,-1,False,Good,1,-0.24,2026-05-30,2026-05-29,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/",43.0673,-89.4181,PM2.5,Madison Area,WI
42,-1,False,Moderate,2,,2026-05-31,2026-05-29,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/",43.0673,-89.4181,O3,Madison Area,WI
43,-1,False,Good,1,-0.24,2026-05-31,2026-05-29,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/",43.0673,-89.4181,PM2.5,Madison Area,WI
44,-1,False,Moderate,2,,2026-06-01,2026-05-29,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/",43.0673,-89.4181,O3,Madison Area,WI
45,-1,False,Good,1,-0.24,2026-06-01,2026-05-29,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/",43.0673,-89.4181,PM2.5,Madison Area,WI
46,-1,False,Good,1,,2026-05-28,2026-05-28,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/",43.0673,-89.4181,O3,Madison Area,WI
47,-1,False,Good,1,-0.24,2026-05-28,2026-05-28,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/",43.0673,-89.4181,PM2.5,Madison Area,WI
48,-1,False,Moderate,2,,2026-05-29,2026-05-28,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/",43.0673,-89.4181,O3,Madison Area,WI
49,-1,False,Good,1,-0.24,2026-05-29,2026-05-28,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/",43.0673,-89.4181,PM2.5,Madison Area,WI
50,-1,False,Good,1,,2026-05-30,2026-05-28,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/",43.0673,-89.4181,O3,Madison Area,WI
51,-1,False,Good,1,-0.24,2026-05-30,2026-05-28,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/",43.0673,-89.4181,PM2.5,Madison Area,WI
52,-1,False,Good,1,,2026-05-31,2026-05-28,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/",43.0673,-89.4181,O3,Madison Area,WI
53,-1,False,Good,1,-0.24,2026-05-31,2026-05-28,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/",43.0673,-89.4181,PM2.5,Madison Area,WI
